list_id,num_reviews,reviews_per_mon,last_review
439,25,0.3,2/12/2019
440,119,1.22,5/28/2019
441,203,2.14,7/6/2019
442,53,0.55,11/16/2018
443,104,1.09,6/16/2019
444,175,1.8,6/28/2019
445,38,0.42,5/8/2018
446,39,0.5,5/2/2019
447,88,0.91,6/16/2019
448,27,0.28,10/8/2017
449,117,1.28,6/29/2019
450,43,0.44,5/20/2019
451,4,0.05,3/13/2015
452,385,4,6/29/2019
453,64,0.68,7/1/2019
454,39,0.41,6/24/2019
455,37,1.79,7/3/2019
456,10,0.12,1/1/2019
457,103,1.08,6/24/2019
458,41,0.43,6/1/2019
459,3,0.03,8/31/2014
460,227,2.33,6/26/2019
461,37,0.79,12/27/2018
462,29,0.35,6/28/2019
463,205,2.31,12/31/2017
464,42,0.44,6/3/2019
465,280,2.92,7/5/2019
466,86,0.89,6/8/2019
467,54,0.56,6/16/2019
468,7,0.07,8/29/2018
469,57,0.59,1/1/2019
470,31,0.32,5/1/2019
471,188,1.94,8/23/2018
472,480,6.7,7/7/2019
473,34,0.35,6/15/2019
474,6,0.06,8/8/2015
475,3,0.04,5/13/2018
476,2,0.03,8/31/2014
477,20,0.21,8/24/2018
478,129,1.33,6/7/2019
479,147,1.6,6/30/2019
480,101,1.06,7/1/2019
481,11,0.12,1/2/2016
482,11,0.12,10/15/2013
483,41,0.43,6/16/2019
484,87,1.09,4/18/2017
485,117,1.21,5/21/2019
486,86,0.89,5/16/2019
487,,,
488,15,0.16,2/15/2016
489,35,0.55,7/2/2019
490,17,0.18,10/1/2015
491,3,0.04,2/15/2016
492,43,0.47,1/3/2018
493,168,4.6,7/6/2019
494,241,2.49,6/24/2019
495,105,1.13,6/23/2019
496,11,0.46,10/28/2018
497,30,0.33,5/5/2018
498,31,0.32,10/23/2018
499,49,0.51,5/7/2019
500,23,0.24,4/13/2019
