list_id,neighborhood,room_type
309,Brooklyn,Entire home
310,Bronx,Entire home
311,Manhattan,Entire home
312,Brooklyn,Private room
313,Brooklyn,Entire home
314,Brooklyn,Entire home
315,Manhattan,Entire home
316,Manhattan,Entire home
317,Queens,Entire home
318,Brooklyn,Private room
319,Brooklyn,Private room
320,Manhattan,Entire home
321,Brooklyn,Entire home
322,Brooklyn,Private room
323,Manhattan,Private room
324,Brooklyn,Entire home
325,Brooklyn,Entire home
326,Brooklyn,Private room
327,Manhattan,Private room
328,Brooklyn,Private room
329,Brooklyn,Private room
330,Brooklyn,Entire home
331,Brooklyn,Private room
332,Brooklyn,Private room
333,Brooklyn,Entire home
334,Manhattan,Entire home
335,Brooklyn,Entire home
336,Brooklyn,Entire home
337,Brooklyn,Entire home
338,Brooklyn,Entire home
339,Manhattan,Entire home
340,Brooklyn,Private room
341,Brooklyn,Entire home
342,Manhattan,Entire home
343,Manhattan,Private room
344,Brooklyn,Entire home
345,Manhattan,Entire home
346,Brooklyn,Entire home
347,Brooklyn,Entire home
348,Brooklyn,Entire home
349,Queens,Private room
350,Brooklyn,Entire home
351,Brooklyn,Entire home
352,Brooklyn,Entire home
353,Brooklyn,Entire home
354,Brooklyn,Entire home
355,Brooklyn,Private room
356,Manhattan,Entire home
357,Manhattan,Entire home
358,Manhattan,Shared room
359,Brooklyn,Entire home
360,Manhattan,Private room
361,Queens,Private room
362,Brooklyn,Entire home
363,Brooklyn,Private room
364,Manhattan,Entire home
365,Brooklyn,Entire home
366,Brooklyn,Private room
367,Manhattan,Entire home
368,Queens,Private room
369,Brooklyn,Entire home
370,Manhattan,Private room
371,Brooklyn,Entire home
372,Brooklyn,Entire home
373,Manhattan,Entire home
374,Manhattan,Entire home
375,Brooklyn,Entire home
376,Manhattan,Private room
377,Manhattan,Entire home
378,Brooklyn,Private room
379,Brooklyn,Private room
380,Manhattan,Private room
381,Brooklyn,Entire home
382,Manhattan,Entire home
383,Manhattan,Entire home
384,Manhattan,Private room
385,Manhattan,Entire home
386,Queens,Entire home
387,Brooklyn,Entire home
388,Brooklyn,Entire home
389,Brooklyn,Entire home
390,Manhattan,Private room
391,Manhattan,Private room
392,Brooklyn,Entire home
393,Brooklyn,Entire home
394,Brooklyn,Entire home
395,Manhattan,Entire home
396,Manhattan,Entire home
397,Brooklyn,Private room
398,Brooklyn,Private room
399,Manhattan,Entire home
400,Manhattan,Private room
401,Brooklyn,Entire home
402,Manhattan,Entire home
403,Brooklyn,Entire home
404,Queens,Entire home
405,Manhattan,Entire home
406,Brooklyn,Entire home
407,Manhattan,Private room
408,Brooklyn,Entire home
409,Brooklyn,Private room
410,Brooklyn,Entire home
411,Manhattan,Entire home
412,Brooklyn,Entire home
413,Brooklyn,Entire home
414,Brooklyn,Entire home
415,Brooklyn,Entire home
416,Brooklyn,Private room
417,Manhattan,Entire home
418,Brooklyn,Entire home
419,Brooklyn,Entire home
420,Manhattan,Entire home
421,Manhattan,Entire home
422,Manhattan,Entire home
423,Manhattan,Entire home
424,Manhattan,Private room
425,Brooklyn,Entire home
426,Manhattan,Entire home
427,Manhattan,Entire home
428,Brooklyn,Entire home
429,Manhattan,Entire home
430,Manhattan,Entire home
431,Brooklyn,Entire home
432,Manhattan,Entire home
433,Manhattan,Entire home
434,Bronx,Entire home
435,Manhattan,Entire home
436,Queens,Entire home
437,Brooklyn,Private room
438,Brooklyn,Entire home
439,Manhattan,Private room
440,Manhattan,Private room
441,Manhattan,Entire home
442,Queens,Private room
443,Brooklyn,Entire home
444,Manhattan,Private room
445,Manhattan,Private room
446,Brooklyn,Entire home
447,Brooklyn,Entire home
448,Brooklyn,Private room
449,Brooklyn,Entire home
450,Brooklyn,Private room
451,Brooklyn,Entire home
452,Brooklyn,Entire home
453,Brooklyn,Private room
454,Brooklyn,Private room
455,Manhattan,Private room
456,Manhattan,Entire home
457,Manhattan,Entire home
458,Queens,Private room
459,Brooklyn,Private room
460,Manhattan,Entire home
461,Brooklyn,Entire home
462,Brooklyn,Entire home
463,Brooklyn,Private room
464,Manhattan,Entire home
465,Manhattan,Entire home
466,Brooklyn,Private room
467,Manhattan,Private room
468,Brooklyn,Entire home
469,Manhattan,Private room
470,Queens,Private room
471,Manhattan,Entire home
472,Brooklyn,Private room
473,Manhattan,Private room
474,Brooklyn,Entire home
475,Manhattan,Entire home
476,Brooklyn,Entire home
477,Brooklyn,Private room
478,Manhattan,Entire home
479,Manhattan,Entire home
480,Brooklyn,Entire home
481,Manhattan,Entire home
482,Manhattan,Entire home
483,Manhattan,Private room
484,Brooklyn,Entire home
485,Bronx,Private room
486,Brooklyn,Entire home
487,Brooklyn,Entire home
488,Manhattan,Entire home
489,Brooklyn,Private room
490,Manhattan,Private room
491,Manhattan,Private room
492,Manhattan,Private room
493,Manhattan,Shared room
494,Brooklyn,Private room
495,Manhattan,Entire home
496,Brooklyn,Entire home
497,Manhattan,Entire home
498,Brooklyn,Entire home
499,Manhattan,Private room
500,Brooklyn,Entire home
