list_id,host_id,host_name,neighborhood,room_type,price,min_nights,num_reviews,reviews_per_mon,last_review
70,4396,Casey,Manhattan,Private room,99,1,106,1.26,6/21/2019
71,65837,Robin,Manhattan,Entire home,225,4,190,1.64,6/23/2019
72,66035,Anna,Manhattan,Entire home,230,9,49,0.43,5/14/2018
73,66243,Enzo,Manhattan,Private room,51,7,23,0.43,6/1/2019
74,68428,Tye And Etienne,Manhattan,Private room,65,2,49,1.6,6/18/2019
75,68599,George,Brooklyn,Private room,105,2,105,0.92,6/26/2019
76,69829,Josh,Manhattan,Entire home,190,5,21,0.2,1/2/2019
77,69942,Victoria,Manhattan,Private room,200,1,142,1.5,7/6/2019
78,70091,Justin,Queens,Private room,70,30,25,0.22,5/31/2019
79,71512,Blaise,Brooklyn,Private room,95,3,143,1.28,6/16/2019
80,71876,DAVID And RICK,Manhattan,Private room,150,3,167,1.65,5/28/2019
81,72014,Lulú,Brooklyn,Private room,145,3,61,0.54,4/22/2019
82,73051,Sybilla,Manhattan,Entire home,110,31,54,0.49,3/23/2019
83,73128,JoLynn,Manhattan,Entire home,285,5,70,0.62,6/30/2019
84,73469,Gaia,Brooklyn,Entire home,130,6,16,0.15,6/15/2019
85,44263,Ana,Manhattan,Private room,94,30,94,0.84,4/8/2019
86,74303,Maggie,Brooklyn,Entire home,800,1,25,0.24,8/4/2016
87,74857,Starlee,Brooklyn,Entire home,105,3,61,0.53,8/9/2018
88,62407,Edward,Manhattan,Private room,60,3,194,1.73,6/30/2019
89,76627,Pas,Manhattan,Private room,50,1,2,0.05,2/14/2016
90,72014,Lulú,Brooklyn,Private room,85,3,174,1.54,6/22/2019
91,961342,Augustin,Brooklyn,Private room,65,4,24,0.28,5/26/2019
92,78460,Sean & Lynette,Brooklyn,Entire home,131,4,166,3.4,6/27/2019
93,51038,Erica,Brooklyn,Private room,98,7,16,0.2,5/31/2019
94,79070,Tracy,Brooklyn,Entire home,250,7,21,0.3,5/21/2019
95,79402,Christiana,Brooklyn,Entire home,100,5,168,1.57,7/22/2018
96,44145,Tyrome,Brooklyn,Entire home,105,3,118,1.05,6/18/2019
97,42032,Dana,Manhattan,Entire home,140,3,81,0.71,7/7/2019
98,82685,Elliott,Manhattan,Private room,89,1,1,0.11,10/9/2018
99,83257,Olan,Manhattan,Private room,98,30,30,0.27,5/1/2019
100,87773,Shelly,Brooklyn,Entire home,125,7,139,1.23,10/28/2018
101,32294,Ssameer Or Trip,Manhattan,Private room,60,3,11,0.87,1/3/2019
102,11481,Annette,Brooklyn,Entire home,175,2,233,2.09,6/24/2019
103,63318,Meka,Manhattan,Private room,65,2,68,0.6,11/1/2012
104,93790,Ann,Manhattan,Entire home,500,4,46,0.55,5/18/2019
105,97219,Seth,Brooklyn,Private room,101,3,335,3.02,5/29/2019
106,97797,Brenda,Brooklyn,Entire home,220,30,88,0.79,11/2/2018
107,87773,Shelly,Brooklyn,Entire home,125,90,162,1.46,6/28/2019
108,105538,Erik,Brooklyn,Entire home,80,30,29,0.4,5/26/2018
109,107628,Dena,Manhattan,Private room,100,2,170,1.61,6/23/2019
110,109589,Jessica,Brooklyn,Entire home,200,30,19,0.2,3/17/2017
111,59734,Luiz,Manhattan,Private room,59,2,334,3,6/16/2019
112,51038,Erica,Brooklyn,Private room,125,2,19,0.2,6/2/2019
113,112793,Sally,Manhattan,Entire home,140,7,12,0.13,12/11/2017
114,42273,Dani,Brooklyn,Entire home,120,30,467,4.22,12/30/2018
115,72062,Bruce,Manhattan,Entire home,350,2,7,0.06,8/9/2017
116,115157,Nimo,Manhattan,Entire home,199,5,38,0.38,12/2/2015
117,115307,Alexandra,Brooklyn,Entire home,325,3,324,3.01,6/23/2019
118,115560,Stacy,Manhattan,Entire home,235,6,27,0.27,4/27/2019
119,72062,Bruce,Manhattan,Entire home,225,1,115,1.05,6/7/2019
120,118971,Evelyn,Brooklyn,Private room,99,2,354,3.2,5/20/2019
121,119510,Emma,Manhattan,Entire home,170,2,195,2.03,7/1/2019
122,119588,Vero,Brooklyn,Entire home,400,2,16,0.24,12/30/2018
123,119900,Sylvie,Manhattan,Entire home,170,7,13,0.12,6/26/2019
124,120223,Jen,Manhattan,Entire home,100,4,25,0.23,12/10/2011
125,65091,Kay,Brooklyn,Private room,75,2,9,0.08,10/5/2018
126,6197784,Jo,Brooklyn,Private room,90,1,9,0.08,9/18/2011
127,124352,Lisa,Manhattan,Entire home,150,5,21,0.19,8/15/2017
128,124797,Fernando And Lenin,Manhattan,Private room,85,15,36,0.33,8/17/2017
129,35935,Angela,Brooklyn,Private room,70,3,63,0.58,5/14/2019
130,126607,Laurine,Manhattan,Entire home,120,3,155,1.42,6/20/2019
131,127608,Chris,Brooklyn,Private room,89,3,260,2.35,7/3/2019
132,125857,Uli,Manhattan,Entire home,185,5,73,0.66,6/25/2019
133,129352,Sol,Brooklyn,Private room,50,3,193,1.86,5/20/2019
134,120335,Cs,Manhattan,Entire home,105,3,32,0.29,6/14/2019
135,117287,Lara,Manhattan,Private room,130,2,50,0.45,5/26/2019
136,135619,Tom,Manhattan,Entire home,115,29,26,0.25,7/1/2019
137,137292,Sunder,Brooklyn,Private room,77,2,2,0.02,1/1/2019
138,137814,Waldemar,Brooklyn,Private room,76,2,426,3.89,6/24/2019
139,137974,Khem,Brooklyn,Entire home,125,3,227,2.09,6/23/2019
140,116599,Sahr,Brooklyn,Private room,135,4,84,0.77,7/1/2019
141,138579,Ali+Scott,Brooklyn,Entire home,250,29,3,0.03,7/30/2017
142,139612,Elisabeth,Brooklyn,Entire home,199,3,10,0.1,6/11/2018
143,139874,Sarah,Brooklyn,Entire home,140,2,4,0.04,4/24/2016
144,140025,Fredah,Queens,Private room,140,2,1,0.01,9/19/2011
145,137974,Khem,Brooklyn,Entire home,115,3,124,1.72,6/20/2019
146,142833,Katherine,Brooklyn,Entire home,160,3,11,0.11,7/2/2019
147,143027,Ming,Brooklyn,Entire home,195,4,240,2.19,6/17/2019
148,143048,Paula,Manhattan,Entire home,195,3,30,0.28,6/17/2019
149,72014,Lulú,Brooklyn,Private room,80,3,200,1.86,6/22/2019
150,149929,Obed,Brooklyn,Private room,44,8,27,1.05,6/29/2019
151,120291,Karen,Manhattan,Private room,156,4,79,0.74,6/22/2019
152,62165,Michael,Brooklyn,Private room,85,15,9,0.09,5/10/2013
153,142684,White,Brooklyn,Private room,125,3,155,1.61,6/13/2019
154,137432,Paz,Brooklyn,Entire home,115,15,4,0.05,8/27/2018
155,157798,Irene,Manhattan,Private room,69,2,34,0.32,5/29/2017
156,158284,Karene,Manhattan,Entire home,225,45,134,1.24,3/31/2019
157,159370,Viviana,Brooklyn,Entire home,125,6,27,0.25,12/27/2018
158,92788,Sara,Manhattan,Entire home,219,4,126,1.16,6/26/2019
159,165789,Sarah,Brooklyn,Entire home,475,3,23,0.27,12/31/2018
160,168417,Marie,Manhattan,Entire home,99,1,234,2.6,6/8/2019
161,168525,Gus,Brooklyn,Private room,69,4,202,1.86,5/28/2019
162,110506,Myung,Queens,Private room,79,30,28,0.26,4/12/2019
163,170510,Renée,Brooklyn,Entire home,135,2,309,2.86,6/22/2019
164,171851,Henry,Brooklyn,Private room,250,3,14,0.13,4/25/2011
165,174025,Sylvia,Manhattan,Entire home,250,3,4,0.08,9/23/2016
166,180083,Syl,Brooklyn,Entire home,250,2,80,2.17,7/6/2019
167,181167,Lorenzo,Manhattan,Entire home,80,3,2,0.04,11/2/2015
168,137814,Waldemar,Brooklyn,Private room,70,2,294,3.47,6/24/2019
169,11481,Annette,Brooklyn,Entire home,165,2,150,1.4,6/18/2019
170,185978,Newyorkroomwithaview,Staten Island,Private room,70,2,166,1.66,6/13/2019
171,177536,Tessa,Brooklyn,Private room,50,2,47,0.94,6/19/2019
172,190409,Waundell,Bronx,Private room,40,1,219,2.04,7/4/2019
173,193360,Young,Brooklyn,Entire home,150,2,193,1.78,7/6/2016
174,72062,Bruce,Manhattan,Private room,125,1,84,0.78,6/23/2019
175,193722,Coral,Manhattan,Entire home,196,3,114,1.06,6/20/2019
176,181376,Carol,Brooklyn,Private room,110,2,213,2,6/24/2019
177,193637,Sara,Manhattan,Entire home,170,3,86,0.8,6/1/2019
178,126607,Laurine,Manhattan,Entire home,165,3,80,0.75,5/26/2019
179,201297,Myrna,Manhattan,Entire home,150,26,38,0.36,4/20/2016
180,202249,Campbell,Manhattan,Entire home,100,2,18,1.79,12/17/2018
181,67778,Doug,Brooklyn,Private room,65,2,206,1.92,6/30/2019
182,204539,Mark,Queens,Entire home,350,8,10,0.11,5/12/2019
183,867225,Rahul,Manhattan,Private room,99,4,122,1.18,5/14/2019
184,204724,Miyoung,Brooklyn,Entire home,200,4,33,0.58,4/8/2019
185,8198,Monica,Brooklyn,Entire home,150,5,52,0.5,6/5/2019
186,209460,Marylyn,Brooklyn,Private room,90,3,126,1.17,5/19/2019
187,210746,Kathleen R.,Brooklyn,Private room,120,3,51,0.48,6/24/2019
188,212722,Teresa,Manhattan,Private room,75,3,199,1.85,6/24/2019
189,214148,Robert,Brooklyn,Entire home,175,26,30,0.29,9/3/2012
190,214287,Alex,Manhattan,Entire home,125,3,3,0.03,7/17/2015
191,218404,Claudia,Manhattan,Entire home,275,1,41,0.38,6/26/2019
192,221873,Shane,Manhattan,Entire home,299,2,109,1.04,6/15/2019
193,9744,Laurie,Brooklyn,Entire home,135,5,151,1.43,6/22/2019
194,236421,Jessica,Manhattan,Private room,130,14,,,
195,236655,Erina,Manhattan,Private room,83,1,285,2.69,6/22/2019
196,237329,Lee,Manhattan,Private room,123,1,375,3.52,6/18/2019
197,27848,Jullett,Queens,Private room,55,2,52,0.49,5/20/2019
198,240360,Marlaine,Manhattan,Entire home,195,5,10,1.01,7/1/2019
199,247432,Charlotte,Brooklyn,Private room,80,2,11,0.48,11/13/2017
200,204539,Mark,Queens,Entire home,98,30,33,0.31,5/9/2015
201,204539,Mark,Queens,Private room,140,7,6,0.06,10/8/2015
202,204539,Mark,Queens,Entire home,265,7,38,0.38,4/27/2019
203,10889,Bob,Brooklyn,Entire home,249,2,358,3.44,6/20/2019
204,255583,Anka,Manhattan,Shared room,105,6,10,0.09,1/7/2014
205,253385,Douglas,Manhattan,Private room,200,30,,,
206,210746,Kathleen R.,Brooklyn,Private room,100,2,226,2.12,6/6/2019
207,256161,Wayne,Manhattan,Entire home,121,1,104,1,6/22/2019
208,190409,Waundell,Bronx,Private room,45,1,138,1.45,6/30/2019
209,258164,Jenny,Manhattan,Private room,100,5,204,1.92,6/23/2019
210,260709,Paul,Brooklyn,Entire home,140,2,253,3.04,7/2/2019
211,262138,Tami,Brooklyn,Private room,71,2,23,0.22,7/1/2019
212,88209,Jason,Manhattan,Private room,130,2,115,1.17,12/5/2018
213,263414,Pete,Manhattan,Entire home,199,5,129,1.22,5/19/2019
214,168525,Gus,Brooklyn,Private room,69,4,82,1.13,6/10/2019
215,264928,Sally,Brooklyn,Private room,68,3,37,0.35,12/31/2018
216,267593,Leonardo,Manhattan,Entire home,130,1,204,2.04,7/1/2019
217,268014,Alex,Brooklyn,Entire home,195,2,69,0.65,6/13/2019
218,256161,Wayne,Manhattan,Private room,64,1,192,1.84,6/3/2019
219,272006,Vasili,Queens,Entire home,140,2,17,0.16,6/17/2019
220,199392,S.M.,Brooklyn,Entire home,159,2,222,2.12,6/24/2019
221,239208,Ori,Manhattan,Entire home,189,3,205,1.96,6/23/2019
222,274557,Ana,Manhattan,Entire home,250,3,94,0.96,6/9/2019
223,275459,I,Manhattan,Entire home,239,3,7,0.07,5/24/2019
224,275578,R,Manhattan,Entire home,305,2,108,1.09,6/30/2019
225,276291,Simon,Manhattan,Entire home,155,3,222,2.1,6/26/2019
226,277379,Agnes,Manhattan,Private room,60,1,458,4.58,7/3/2019
227,277394,Linda,Brooklyn,Private room,135,2,21,0.26,5/17/2019
228,279797,Dave,Manhattan,Private room,120,7,17,0.3,5/8/2019
229,282927,Drica,Manhattan,Entire home,150,3,41,0.39,1/2/2019
230,204539,Mark,Queens,Entire home,140,14,1,0.01,9/17/2012
231,274782,Betty,Brooklyn,Entire home,135,2,69,0.67,5/19/2019
232,186084,Ricardo & Ashlie,Manhattan,Entire home,250,4,18,0.18,7/1/2019
233,288031,Leslie,Manhattan,Entire home,250,30,82,0.78,1/5/2016
234,289653,Harrison,Manhattan,Entire home,500,4,94,0.99,6/23/2019
235,99212,Jessica,Manhattan,Entire home,225,5,10,0.1,5/11/2019
236,292204,Blanca,Manhattan,Entire home,125,28,183,1.83,9/29/2018
237,256161,Wayne,Manhattan,Private room,92,1,189,1.82,6/11/2019
238,249372,Cynthia,Manhattan,Private room,175,2,1,0.11,10/7/2018
239,292630,Mich,Manhattan,Entire home,99,2,127,1.22,6/20/2019
240,293394,Rachel,Manhattan,Entire home,195,4,4,0.04,8/25/2017
241,126607,Laurine,Manhattan,Entire home,140,3,135,1.3,6/20/2019
242,295760,Greta,Manhattan,Entire home,135,2,21,0.2,12/12/2015
243,291112,Frank,Manhattan,Entire home,500,2,35,0.34,7/27/2017
244,297176,Bethania,Manhattan,Private room,80,14,10,2.21,6/1/2019
245,297769,Tunji,Manhattan,Private room,120,4,171,1.8,6/23/2019
246,23619,Anna/Fonzy,Manhattan,Entire home,110,200,92,0.9,4/30/2019
247,281764,Colette&Sean,Brooklyn,Entire home,65,3,238,2.3,6/14/2019
248,303882,Brie,Manhattan,Entire home,130,50,56,0.58,5/26/2019
249,197755,Sheila,Brooklyn,Entire home,99,3,111,2.13,6/22/2019
250,303939,Lissette,Staten Island,Private room,36,2,193,1.85,6/25/2019
251,303939,Lissette,Staten Island,Private room,37,2,147,1.44,6/10/2019
252,303939,Lissette,Staten Island,Private room,37,2,177,1.71,7/2/2019
253,306545,Olivia,Manhattan,Entire home,175,3,185,1.78,5/24/2019
254,306605,Daniel,Manhattan,Entire home,205,9,62,0.7,6/21/2019
255,306739,Maya,Brooklyn,Entire home,285,3,124,1.22,6/16/2019
256,308875,Scott,Brooklyn,Private room,59,2,181,1.77,6/23/2019
257,303939,Lissette,Staten Island,Private room,36,2,333,3.19,7/2/2019
258,307962,Dennis & Naoko,Queens,Entire home,99,5,441,4.5,6/24/2019
259,308652,Antonín,Brooklyn,Private room,39,1,45,0.46,5/16/2019
260,310458,Emily,Brooklyn,Private room,60,14,9,0.09,8/29/2016
261,295128,Carol Gloria,Bronx,Private room,90,2,,,
262,310670,Vie,Bronx,Entire home,105,2,38,0.5,6/27/2019
263,170510,Renée,Brooklyn,Entire home,135,2,248,2.39,6/25/2019
264,306545,Olivia,Manhattan,Entire home,390,5,143,1.38,6/19/2019
265,311286,Helene,Brooklyn,Private room,70,3,36,0.41,8/19/2018
266,312288,Paula,Manhattan,Private room,75,7,,,
267,312722,Kristian & Di,Brooklyn,Private room,60,17,14,0.14,1/7/2019
268,146944,David,Manhattan,Entire home,200,3,,,
269,313317,Niya,Brooklyn,Private room,100,3,279,2.69,6/24/2019
270,311286,Helene,Brooklyn,Private room,70,4,18,0.22,1/2/2019
271,314256,Debbie,Brooklyn,Private room,110,6,50,3.55,5/26/2019
272,314582,Anthony,Brooklyn,Private room,60,2,227,2.27,6/27/2019
273,7310,Tilly,Manhattan,Entire home,90,14,1,0.16,1/2/2019
274,46978,Edward,Manhattan,Private room,68,2,203,1.96,6/23/2019
275,317809,Claire,Manhattan,Entire home,115,2,210,2.1,7/6/2019
276,319092,Juhli,Brooklyn,Private room,75,5,64,0.67,1/5/2019
277,320422,Marlon,Brooklyn,Private room,60,3,,,
278,320450,Mary D,Manhattan,Entire home,129,7,5,0.15,1/3/2019
279,320761,Valerie,Brooklyn,Entire home,130,10,49,0.48,6/29/2019
280,320538,Larissa,Brooklyn,Entire home,95,4,132,1.27,7/7/2019
281,321756,Eric,Manhattan,Private room,75,3,20,0.26,1/2/2019
282,321934,Jessica,Brooklyn,Entire home,175,2,11,0.11,5/2/2013
283,322884,Melissa,Brooklyn,Entire home,190,3,51,0.57,7/1/2019
284,322716,Alex,Brooklyn,Private room,49,21,15,0.15,6/30/2019
285,324460,Samir,Manhattan,Entire home,212,3,67,1.31,6/25/2019
286,314941,Tony,Manhattan,Private room,95,1,109,1.11,6/23/2019
287,325389,Luis Fernando,Brooklyn,Entire home,140,2,9,0.11,2/16/2019
288,136227,Henning,Manhattan,Entire home,135,6,187,1.87,6/23/2019
289,327673,Stefano,Brooklyn,Entire home,150,2,214,2.08,6/23/2019
290,329436,Jana,Brooklyn,Entire home,190,3,69,0.79,7/1/2019
291,101597,Per,Manhattan,Entire home,124,28,22,0.26,6/15/2019
292,330347,Adrienne,Brooklyn,Entire home,135,30,56,0.56,5/6/2019
293,332189,Elise,Manhattan,Private room,122,3,93,0.93,6/22/2019
294,323517,Deda,Manhattan,Private room,109,1,104,1.05,6/25/2019
295,338454,Share,Manhattan,Private room,85,30,64,0.68,7/6/2018
296,240427,Naimah,Brooklyn,Entire home,145,3,127,1.25,6/24/2019
297,342054,Violetta,Manhattan,Entire home,195,11,30,0.32,6/13/2019
298,282655,Jenna,Brooklyn,Entire home,250,2,106,1.34,6/27/2019
299,343250,Jason,Brooklyn,Private room,125,3,6,0.1,11/13/2016
300,281229,Alicia,Manhattan,Entire home,575,2,191,1.88,6/20/2019
301,352168,Silvia,Manhattan,Entire home,150,30,48,0.55,6/11/2019
302,155689,Joab,Brooklyn,Private room,70,5,47,0.49,6/29/2019
303,353965,Mary And Geoff,Manhattan,Private room,90,2,120,1.27,6/30/2019
304,354330,Eyal,Manhattan,Private room,65,3,52,0.63,1/10/2019
305,72062,Bruce,Manhattan,Entire home,500,2,48,0.48,6/16/2019
306,361855,Kurt,Manhattan,Entire home,250,3,32,0.43,5/24/2019
307,363834,Jennifer,Manhattan,Entire home,125,25,43,0.42,6/17/2019
308,364955,Ruperto,Manhattan,Entire home,200,30,39,0.44,6/25/2019
309,365153,Ben,Brooklyn,Entire home,229,1,50,0.5,5/13/2014
310,369015,Thai,Bronx,Entire home,90,30,4,0.35,1/2/2019
311,373085,Hudson,Manhattan,Entire home,110,13,38,0.39,2/15/2019
312,340692,Vanessa,Brooklyn,Private room,59,3,29,0.36,6/16/2019
313,211877,Daniel,Brooklyn,Entire home,195,4,59,0.6,6/23/2019
314,389924,Patty,Brooklyn,Entire home,169,1,68,0.67,6/7/2019
315,331328,Amir,Manhattan,Entire home,113,14,26,0.27,11/25/2015
316,391325,G & S,Manhattan,Entire home,250,14,31,0.31,8/22/2012
317,265109,Nazleen,Queens,Entire home,115,2,198,2.01,5/31/2019
318,394752,Allison,Brooklyn,Private room,55,2,1,0.01,3/28/2011
319,308875,Scott,Brooklyn,Private room,69,2,220,2.17,6/22/2019
320,401696,Patricia,Manhattan,Entire home,150,3,286,2.81,6/27/2019
321,118971,Evelyn,Brooklyn,Entire home,169,2,398,3.97,6/28/2019
322,417504,The Box House Hotel,Brooklyn,Private room,179,3,36,0.36,7/1/2019
323,134355,Moss Owen,Manhattan,Private room,150,3,36,0.36,6/14/2019
324,422561,Nancy,Brooklyn,Entire home,135,4,6,0.1,2/5/2016
325,425506,Bliss,Brooklyn,Entire home,350,6,14,0.3,4/20/2019
326,430188,Pam,Brooklyn,Private room,120,14,76,0.76,3/31/2019
327,434987,Jennifer,Manhattan,Private room,71,2,182,1.81,7/4/2019
328,417504,The Box House Hotel,Brooklyn,Private room,349,3,8,0.09,3/27/2016
329,417504,The Box House Hotel,Brooklyn,Private room,349,3,7,0.07,5/24/2019
330,438133,Ellis,Brooklyn,Entire home,165,30,34,0.51,9/25/2018
331,417504,The Box House Hotel,Brooklyn,Private room,249,3,2,0.02,5/12/2011
332,448312,Christopher,Brooklyn,Private room,100,3,66,0.68,9/16/2016
333,448312,Christopher,Brooklyn,Entire home,200,3,80,0.85,6/30/2019
334,449787,Sarah,Manhattan,Entire home,169,4,240,2.4,6/6/2019
335,451545,Ruthven,Brooklyn,Entire home,185,3,46,1.07,7/2/2019
336,453519,Julian,Brooklyn,Entire home,65,2,228,2.27,6/10/2019
337,454756,Leslie,Brooklyn,Entire home,130,35,5,0.05,9/3/2018
338,456638,Sophie,Brooklyn,Entire home,199,30,8,0.11,8/26/2018
339,410094,Yvette,Manhattan,Entire home,225,2,33,0.33,1/2/2019
340,417504,The Box House Hotel,Brooklyn,Private room,179,3,13,0.14,6/27/2019
341,459054,Famous,Brooklyn,Entire home,150,5,5,0.05,7/22/2018
342,462776,Kyle,Manhattan,Entire home,139,1,388,3.88,6/26/2019
343,464506,Ange,Manhattan,Private room,95,3,223,2.22,6/23/2019
344,322716,Alex,Brooklyn,Entire home,79,15,11,0.11,1/14/2019
345,327900,T,Manhattan,Entire home,150,2,151,1.51,6/24/2019
346,116599,Sahr,Brooklyn,Entire home,650,5,,,
347,209460,Marylyn,Brooklyn,Entire home,90,3,218,2.26,6/28/2019
348,25183,Nathalie,Brooklyn,Entire home,120,2,75,0.76,6/23/2019
349,35375,Savannah,Queens,Private room,80,1,42,1.21,7/6/2019
350,503800,Sadatu,Brooklyn,Entire home,100,90,,,
351,478395,Jason,Brooklyn,Entire home,175,2,370,3.74,7/5/2019
352,473113,Keishera,Brooklyn,Entire home,120,5,104,1.04,6/21/2019
353,509341,Tessa,Brooklyn,Entire home,140,7,13,0.13,7/18/2016
354,509918,Eduardo,Brooklyn,Entire home,200,5,4,0.07,12/26/2018
355,116599,Sahr,Brooklyn,Private room,165,4,11,0.11,6/7/2019
356,31374,Shon,Manhattan,Entire home,125,4,1,0.01,1/3/2012
357,520279,Peter Michael,Manhattan,Entire home,130,30,19,0.19,6/11/2018
358,522065,Liz And Melissa,Manhattan,Shared room,65,7,131,1.31,5/26/2019
359,522164,Wanda,Brooklyn,Entire home,123,30,15,0.15,5/1/2019
360,523218,Giorgio,Manhattan,Private room,67,2,136,1.37,6/17/2019
361,526653,,Queens,Private room,50,1,43,0.45,7/8/2019
362,526805,Mi,Brooklyn,Entire home,130,7,98,0.99,6/28/2019
363,530032,Lee And Tara,Brooklyn,Private room,100,3,31,0.31,3/1/2019
364,178043,Chas,Manhattan,Entire home,212,21,45,0.46,1/1/2018
365,465278,Ade,Brooklyn,Entire home,190,3,124,1.76,6/26/2019
366,417504,The Box House Hotel,Brooklyn,Private room,599,3,9,0.09,5/19/2018
367,251176,Jason,Manhattan,Entire home,249,5,166,1.68,5/27/2019
368,547386,Michelle,Queens,Private room,70,27,13,0.13,9/21/2015
369,322716,Alex,Brooklyn,Entire home,100,30,15,0.16,1/5/2019
370,551055,Alicia,Manhattan,Private room,60,3,380,3.83,6/26/2019
